省	AreaCode	year	repost_num	comment_num	praise_num	type	negative_type	positive_type	new_num
浙江省	330000.0	2014	11679.0	3440.0	83.0	42.0	-71.0	113.0	144434.896643657
浙江省	330000.0	2015	598.0	240.0	34.0	44.0	-54.0	98.0	8212.528371344597
浙江省	330000.0	2016	1404.0	1692.0	738.0	-35.0	-246.0	211.0	-27740.991085918962
浙江省	330000.0	2017	1645.0	1084.0	1809.0	467.0	-262.0	729.0	33156.533816156254
浙江省	330000.0	2018	2084.0	939.0	3006.0	801.0	-515.0	1316.0	56028.8743847331
浙江省	330000.0	2019	18233.0	10739.0	34626.0	1937.0	-1877.0	3814.0	380876.59543069167
浙江省	330000.0	2020	149434.0	214632.0	2433260.0	-1186.0	-2838.0	1652.0	-37409500.22473964
海南省	460000.0	2014	28.0	20.0	14.0	-13.0	-21.0	8.0	-245.61470120093998
海南省	460000.0	2015	5.0	1.0	8.0	2.0	-9.0	11.0	1.135817897891517
海南省	460000.0	2016	16.0	6.0	22.0	0.0	-15.0	15.0	-141.56925473869865
海南省	460000.0	2017	73.0	197.0	399.0	77.0	-91.0	168.0	4605.222329590906
海南省	460000.0	2018	13519.0	6016.0	10110.0	742.0	-514.0	1256.0	141470.9122157333
海南省	460000.0	2019	13060.0	12289.0	39532.0	1561.0	-1993.0	3554.0	479231.59817049984
海南省	460000.0	2020	113085.0	72666.0	997305.0	-3077.0	-4814.0	1737.0	-20437566.817729592
湖北省	420000.0	2014	764.0	1000.0	387.0	132.0	-38.0	170.0	15669.488734736407
湖北省	420000.0	2015	6922.0	1477.0	1452.0	382.0	-81.0	463.0	101017.75806218096
湖北省	420000.0	2016	694.0	528.0	1363.0	72.0	-61.0	133.0	23692.415636511872
湖北省	420000.0	2017	3195.0	3327.0	1828.0	147.0	-116.0	263.0	86393.24554908222
湖北省	420000.0	2018	3939.0	3600.0	2537.0	170.0	-145.0	315.0	110644.50152092268
湖北省	420000.0	2019	5688.0	5863.0	19865.0	317.0	-1029.0	1346.0	221030.53304610885
湖北省	420000.0	2020	4184025.0	1338778.0	21180857.0	-3997.0	-4214.0	217.0	-397212267.6486255
湖南省	430000.0	2014	677.0	552.0	311.0	22.0	-415.0	437.0	10518.34410695212
湖南省	430000.0	2015	30591.0	3852.0	886.0	165.0	-92.0	257.0	-197096.62884411518
湖南省	430000.0	2016	987.0	621.0	4033.0	80.0	-67.0	147.0	19420.253773137876
湖南省	430000.0	2017	57.0	67.0	200.0	36.0	-18.0	54.0	2261.7279052323775
湖南省	430000.0	2018	15467.0	771.0	1527.0	307.0	-135.0	442.0	174769.87217942698
湖南省	430000.0	2019	75481.0	4253.0	11225.0	1189.0	-624.0	1813.0	708317.3804417046
湖南省	430000.0	2020	1828808.0	630912.0	9387187.0	-2808.0	-4264.0	1456.0	-152373118.4521233
澳门特别行政区	820000.0	2018	0.0	0.0	0.0	-1.0	-1.0	0.0	-8.89740886527095
澳门特别行政区	820000.0	2019	1.0	0.0	3.0	-14.0	-16.0	2.0	-207.79086794625528
澳门特别行政区	820000.0	2020	7.0	58.0	68.0	-4.0	-4.0	0.0	-2246.610354557147
甘肃省	620000.0	2014	6281.0	1339.0	1885.0	65.0	-29.0	94.0	66183.9852815855
甘肃省	620000.0	2015	2326.0	648.0	1789.0	33.0	-20.0	53.0	27663.06195432643
甘肃省	620000.0	2016	10073.0	3057.0	11841.0	46.0	-73.0	119.0	72531.75132332847
甘肃省	620000.0	2017	12936.0	3110.0	16439.0	139.0	-139.0	278.0	123180.96254084511
甘肃省	620000.0	2018	58604.0	26679.0	150186.0	301.0	-117.0	418.0	-219054.2557472028
甘肃省	620000.0	2019	165434.0	75923.0	704952.0	1565.0	-1558.0	3112.0	9459880.927407507
甘肃省	620000.0	2020	214737.0	119430.0	1068982.0	-3578.0	-5856.0	2278.0	-12072556.63349278
福建省	350000.0	2016	2937.0	901.0	1786.0	54.0	-1.0	55.0	73937.9341127183
福建省	350000.0	2017	4130.0	2492.0	5510.0	-196.0	-468.0	272.0	123994.5616507274
福建省	350000.0	2018	5397.0	2338.0	5942.0	-121.0	-524.0	403.0	135864.21425107677
福建省	350000.0	2019	7913.0	5281.0	9275.0	87.0	-455.0	542.0	-64256.87755843485
福建省	350000.0	2020	22549.0	35566.0	376210.0	44.0	-534.0	578.0	-7675325.763336002
西藏自治区	540000.0	2017	320.0	106.0	513.0	76.0	-11.0	87.0	11721.550473315114
西藏自治区	540000.0	2018	5020.0	654.0	2487.0	365.0	-93.0	458.0	97556.0231323238
西藏自治区	540000.0	2019	1161.0	632.0	2136.0	317.0	-149.0	466.0	40854.37577410042
西藏自治区	540000.0	2020	41958.0	47711.0	668833.0	12.0	-306.0	318.0	-12822706.61838104
贵州省	520000.0	2014	156494.0	35030.0	1742.0	222.0	-201.0	423.0	-2478694.388082148
贵州省	520000.0	2015	1525.0	1046.0	1165.0	91.0	-111.0	202.0	-21682.368386209193
贵州省	520000.0	2016	2487.0	7713.0	5993.0	81.0	-233.0	314.0	-185163.86951577058
贵州省	520000.0	2017	3249.0	7418.0	3402.0	78.0	-178.0	256.0	-125713.71234816757
贵州省	520000.0	2018	5480.0	1740.0	2112.0	153.0	-68.0	221.0	-46075.411262033034
贵州省	520000.0	2019	3495.0	2170.0	5636.0	22.0	-219.0	241.0	-43308.405471825245
贵州省	520000.0	2020	37473.0	41123.0	639538.0	-1433.0	-3670.0	2237.0	-10018247.058725165
辽宁省	210000.0	2014	1124.0	1457.0	536.0	107.0	-349.0	456.0	8422.921335809675
辽宁省	210000.0	2015	911.0	1421.0	897.0	163.0	-193.0	356.0	18435.91495922125
辽宁省	210000.0	2016	593.0	1534.0	2108.0	246.0	-118.0	364.0	28606.408270015123
辽宁省	210000.0	2017	1392.0	3819.0	4957.0	101.0	-255.0	356.0	54273.371590002265
辽宁省	210000.0	2018	166.0	1336.0	896.0	187.0	-92.0	279.0	18164.6420563861
辽宁省	210000.0	2019	4580.0	4955.0	12907.0	-25.0	-580.0	555.0	13433.86144437725
辽宁省	210000.0	2020	26866.0	46831.0	445793.0	-109.0	-506.0	397.0	-9390158.24150506
重庆市	500000.0	2014	74573.0	54325.0	589.0	-101.0	-212.0	111.0	-1220242.9898988544
重庆市	500000.0	2015	11272.0	4896.0	3162.0	-46.0	-507.0	461.0	93160.33029911213
重庆市	500000.0	2016	1313.0	1552.0	2340.0	-13.0	-200.0	187.0	30024.027481757417
重庆市	500000.0	2017	1944.0	2294.0	4090.0	121.0	-17.0	138.0	94631.68994591286
重庆市	500000.0	2018	3292.0	1285.0	1006.0	667.0	-279.0	946.0	69689.24926029122
重庆市	500000.0	2019	5461.0	2528.0	5522.0	342.0	-163.0	505.0	67117.4361018646
重庆市	500000.0	2020	56979.0	127190.0	2324198.0	6.0	-135.0	141.0	-46537465.35526878
陕西省	610000.0	2014	173.0	104.0	67.0	30.0	-31.0	61.0	2749.4467271779145
陕西省	610000.0	2015	813.0	333.0	622.0	-680.0	-743.0	63.0	-12739.555407122269
陕西省	610000.0	2016	810.0	199.0	783.0	-382.0	-487.0	105.0	-10497.960720865185
陕西省	610000.0	2017	2103.0	1976.0	777.0	3.0	-82.0	85.0	-43520.453404247826
陕西省	610000.0	2018	113021.0	7019.0	24836.0	296.0	-756.0	1052.0	-1592734.039231698
陕西省	610000.0	2019	20545.0	19922.0	56391.0	979.0	-1234.0	2202.0	634064.4213741021
陕西省	610000.0	2020	156133.0	126788.0	1553270.0	-3882.0	-6020.0	2138.0	-23191171.681566034
青海省	630000.0	2014	128.0	140.0	319.0	17.0	-20.0	37.0	857.5143994322844
青海省	630000.0	2015	25.0	17.0	21.0	-2.0	-8.0	6.0	294.41855500217133
青海省	630000.0	2016	163.0	54.0	142.0	-313.0	-545.0	232.0	-3619.7801192733996
青海省	630000.0	2017	660.0	459.0	1042.0	-199.0	-808.0	609.0	5813.353314237428
青海省	630000.0	2018	65.0	54.0	122.0	-27.0	-120.0	93.0	361.4680800096097
青海省	630000.0	2019	12235.0	4520.0	19805.0	-608.0	-969.0	361.0	-74834.1873253705
青海省	630000.0	2020	19839.0	30541.0	336845.0	-2515.0	-2970.0	455.0	-6730812.386467018
香港特别行政区	820000.0	2019	102.0	227.0	570.0	-103.0	-104.0	1.0	-12733.26581463676
香港特别行政区	820000.0	2020	33561.0	53728.0	642994.0	-186.0	-196.0	10.0	-13086362.580481565
黑龙江省	230000.0	2017	0.0	0.0	1.0	1.0	0.0	1.0	17.7948177305419
黑龙江省	230000.0	2018	6.0	1.0	18.0	24.0	-12.0	36.0	475.1494349472134
黑龙江省	230000.0	2019	3.0	1.0	11.0	12.0	-8.0	20.0	147.3950181429498
黑龙江省	230000.0	2020	145683.0	255010.0	2473841.0	-164.0	-170.0	6.0	-51115197.1760329
